Id_station;Id_omm;Nom_usuel;Latitude;Longitude;Altitude;Date_ouverture;Pack
98748012;;TEAHUPOO;-17.859333;-149.246667;10;2021-10-04;RADOME
98749001;91943;TAKAROA;-14.456833;-145.025167;2;1951-08-01;RADOME
98750003;;OPOA;-16.826500;-151.372833;2;1991-03-01;ETENDU
98752001;;PAPEARI 1;-17.758833;-149.376833;2;1922-08-01;ETENDU
98753002;91954;TUBUAI AERO;-23.370667;-149.529333;3;1980-11-01;ETENDU
98755002;91952;MORUROA;-21.810500;-138.822833;3;1964-02-01;RADOME
98801001;91573;BELEP AEROD.;-19.719833;163.661000;88;1952-01-01;ETENDU
98802001;;BOULOUPARIS;-21.874167;166.051833;8;1903-01-01;ETENDU
98802003;;BOURAKE;-21.942500;165.999833;53;2000-10-01;ETENDU
98802008;;NASSIRAH;-21.815000;166.063167;52;1979-01-01;ETENDU
98802102;;CAMP DES SAPINS;-21.765000;166.174167;782;2008-01-11;ETENDU
98803001;91576;BOURAIL;-21.554833;165.493833;25;1907-01-01;ETENDU
98803003;91581;NESSADIOU;-21.620500;165.480167;2;1966-10-04;ETENDU
98803005;;POE;-21.608000;165.399833;6;1988-09-13;ETENDU
98804001;;CANALA;-21.526333;165.969167;35;1910-01-01;ETENDU
98805001;;DUMBEA;-22.135833;166.481167;15;1925-01-01;ETENDU
98805004;;NAKUTAKOIN;-22.171167;166.435500;3;2014-10-09;ETENDU
98807001;;HIENGHENE GEND.;-20.688333;164.949500;22;1937-01-01;ETENDU
98808001;;HOUAILOU P;-21.278333;165.628000;11;1923-01-01;ETENDU
98808002;;COL ROUSSETTES;-21.423333;165.454000;361;1985-01-01;ETENDU
98809001;91596;MOUE;-22.589833;167.452167;95;1971-03-01;ETENDU
98810001;;GOMEN;-20.667167;164.396000;15;1909-01-01;ETENDU
98810002;;OUACO;-20.837000;164.468833;11;1952-01-01;ETENDU
98811001;91578;KONE;-21.051333;164.833500;9;1909-01-01;ETENDU
98811004;;TANGO;-20.983667;165.026167;341;1998-03-01;ETENDU
98812001;91577;KOUMAC;-20.558667;164.284167;25;1949-12-01;RADOME
98813001;;LA FOA;-21.701333;165.814667;12;1903-01-01;ETENDU
98814001;91582;OUANAHAM;-20.777667;167.241167;30;1960-01-01;RADOME
98814003;;CHEPENEHE;-20.785167;167.151500;10;1951-01-01;ETENDU
98814007;;MOU;-21.083333;167.425333;8;1976-09-01;ETENDU
98815001;91587;LA ROCHE;-21.481500;168.035667;41;1956-01-01;ETENDU
98815002;;TADINE;-21.549000;167.884333;35;1952-01-01;ETENDU
98817005;;LA COULEE;-22.229833;166.600333;21;1979-01-01;ETENDU
98817104;;GORO_USINE;-22.339500;166.908667;159;1995-01-01;ETENDU
98818001;91592;NOUMEA;-22.276000;166.452833;69;1860-01-01;RADOME
98818002;91593;MAGENTA;-22.260333;166.473667;3;1964-01-01;ETENDU
98818003;91591;PHARE AMEDEE;-22.478333;166.467333;3;1989-07-01;ETENDU
98818201;91570;SURPRISE;-18.480000;163.086333;4;1994-01-01;RADOME
98818202;91574;CHESTERFIELD;-19.968333;158.475500;4;1994-01-01;RADOME
98819001;;OUEGOA;-20.345167;164.440000;9;1955-02-01;ETENDU
98820001;91579;OULOUP;-20.639167;166.571000;7;1966-01-01;ETENDU
98820003;;MOULI;-20.722333;166.422000;4;1991-01-01;ETENDU
98821001;91590;LA TONTOUTA;-22.017333;166.222333;37;1949-01-01;RADOME
98822001;91583;POINDIMIE;-20.932500;165.328000;14;1964-01-01;ETENDU
98823001;;PONERIHOUEN;-21.072167;165.404333;27;1952-01-01;ETENDU
98823002;91580;AOUPINIE;-21.178167;165.284667;905;1990-11-27;ETENDU
98824001;91584;POUEBO;-20.383167;164.568333;63;1937-01-01;ETENDU
98826001;;POUM;-20.232500;164.022333;3;1952-01-01;ETENDU
98826002;91572;POINGAM;-20.081167;164.031333;35;1994-01-01;ETENDU
